areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2021-10-22,136
K02000001,United Kingdom,overview,2021-10-21,158
K02000001,United Kingdom,overview,2021-10-20,154
K02000001,United Kingdom,overview,2021-10-19,128
K02000001,United Kingdom,overview,2021-10-18,127
K02000001,United Kingdom,overview,2021-10-17,129
K02000001,United Kingdom,overview,2021-10-16,133
K02000001,United Kingdom,overview,2021-10-15,139
K02000001,United Kingdom,overview,2021-10-14,149
K02000001,United Kingdom,overview,2021-10-13,121
K02000001,United Kingdom,overview,2021-10-12,115
K02000001,United Kingdom,overview,2021-10-11,125
K02000001,United Kingdom,overview,2021-10-10,96
K02000001,United Kingdom,overview,2021-10-09,117
K02000001,United Kingdom,overview,2021-10-08,120
K02000001,United Kingdom,overview,2021-10-07,123
K02000001,United Kingdom,overview,2021-10-06,103
K02000001,United Kingdom,overview,2021-10-05,120
K02000001,United Kingdom,overview,2021-10-04,103
K02000001,United Kingdom,overview,2021-10-03,97
K02000001,United Kingdom,overview,2021-10-02,110
K02000001,United Kingdom,overview,2021-10-01,129
K02000001,United Kingdom,overview,2021-09-30,113
K02000001,United Kingdom,overview,2021-09-29,125
K02000001,United Kingdom,overview,2021-09-28,108
K02000001,United Kingdom,overview,2021-09-27,116
K02000001,United Kingdom,overview,2021-09-26,97
K02000001,United Kingdom,overview,2021-09-25,125
K02000001,United Kingdom,overview,2021-09-24,125
K02000001,United Kingdom,overview,2021-09-23,139
K02000001,United Kingdom,overview,2021-09-22,151
K02000001,United Kingdom,overview,2021-09-21,121
K02000001,United Kingdom,overview,2021-09-20,138
K02000001,United Kingdom,overview,2021-09-19,125
K02000001,United Kingdom,overview,2021-09-18,123
K02000001,United Kingdom,overview,2021-09-17,177
K02000001,United Kingdom,overview,2021-09-16,151
K02000001,United Kingdom,overview,2021-09-15,145
K02000001,United Kingdom,overview,2021-09-14,154
K02000001,United Kingdom,overview,2021-09-13,110
K02000001,United Kingdom,overview,2021-09-12,143
K02000001,United Kingdom,overview,2021-09-11,138
K02000001,United Kingdom,overview,2021-09-10,146
K02000001,United Kingdom,overview,2021-09-09,166
K02000001,United Kingdom,overview,2021-09-08,141
K02000001,United Kingdom,overview,2021-09-07,155
K02000001,United Kingdom,overview,2021-09-06,139
K02000001,United Kingdom,overview,2021-09-05,157
K02000001,United Kingdom,overview,2021-09-04,134
K02000001,United Kingdom,overview,2021-09-03,147
K02000001,United Kingdom,overview,2021-09-02,129
K02000001,United Kingdom,overview,2021-09-01,118
K02000001,United Kingdom,overview,2021-08-31,117
K02000001,United Kingdom,overview,2021-08-30,107
K02000001,United Kingdom,overview,2021-08-29,129
K02000001,United Kingdom,overview,2021-08-28,126
K02000001,United Kingdom,overview,2021-08-27,128
K02000001,United Kingdom,overview,2021-08-26,116
